event_time,ticket_id,user_id,event_type,status,topic,message_text
2025-09-25 09:12:00,T001,U001,opened,open,shipping,My NovaMat took 10 days to arrive
2025-09-25 09:40:00,T001,U001,reply,pending,shipping,We are checking with the courier for an updated scan
2025-09-25 18:05:00,T001,U001,reply,pending,shipping,Carrier confirmed package is in regional hub
2025-09-26 08:25:00,T001,U001,solved,solved,shipping,Order delivered and customer confirmed receipt
2025-09-26 12:03:00,T002,U017,opened,open,defective_product,My SmartBand is not connecting to Bluetooth
2025-09-26 12:22:00,T002,U017,reply,pending,defective_product,Agent guided user through hard reset steps
2025-09-26 12:40:00,T002,U017,escalation,pending,defective_product,Reset did not work issue persists
2025-09-26 13:20:00,T002,U017,solved,solved,defective_product,Replacement shipped with overnight delivery
2025-09-27 10:30:00,T003,U042,opened,open,refund,Need to return my NovaKettlebell for a smaller size
2025-09-27 12:05:00,T003,U042,reply,pending,refund,Provided prepaid return label and instructions
2025-09-27 15:00:00,T003,U042,solved,solved,refund,Refund processed successfully after carrier scan
2025-09-28 08:15:00,T004,U021,opened,open,app_sync,NovaFit app crashes after login on my tablet
2025-09-28 08:45:00,T004,U021,reply,pending,app_sync,Support asked for OS version and crash log
2025-09-28 09:20:00,T004,U021,escalation,pending,app_sync,Reinstall failed and crash still happens
2025-09-28 12:05:00,T004,U021,reply,pending,app_sync,Tier 2 collecting telemetry for engineering
2025-09-29 19:10:00,T004,U021,solved,solved,app_sync,Patched build deployed resolving crash loop
2025-09-28 11:00:00,T005,U099,opened,open,shipping,Tracking shows delayed for five days with no updates
2025-09-29 08:50:00,T005,U099,reply,pending,shipping,Contacted carrier for depot investigation
2025-09-29 16:20:00,T005,U099,escalation,pending,shipping,Customer needs shipment before launch event
2025-10-01 10:05:00,T005,U099,solved,solved,shipping,Package rerouted and delivered with apology credit
2025-09-29 10:15:00,T006,U043,opened,open,billing,Charged twice for September subscription
2025-09-29 11:40:00,T006,U043,reply,pending,billing,Confirmed duplicate payment with finance team
2025-09-29 14:00:00,T006,U043,solved,solved,billing,Issued refund and emailed receipt to customer
2025-09-30 08:45:00,T007,U088,opened,open,defective_product,Resistance band snapped after two days
2025-09-30 09:10:00,T007,U088,reply,pending,defective_product,Requested photos and order number
2025-09-30 09:30:00,T007,U088,escalation,pending,defective_product,Customer worried product is unsafe
2025-10-01 15:35:00,T007,U088,reply,pending,defective_product,Quality reviewed batch and approved replacement
2025-10-02 09:40:00,T007,U088,solved,solved,defective_product,Replacement kit shipped with safety notice
2025-09-30 10:30:00,T008,U061,opened,open,app_sync,App is not logging workout duration on my NovaBike
2025-09-30 12:15:00,T008,U061,reply,pending,app_sync,Shared troubleshooting to refresh token cache
2025-10-01 09:25:00,T008,U061,escalation,pending,app_sync,Telemetry still missing after reset
2025-10-02 08:10:00,T008,U061,reply,pending,app_sync,Tier 2 collecting ride log bundle for analysis
2025-10-04 07:30:00,T008,U061,escalation,pending,app_sync,Customer reports crashes during live classes
2025-10-05 15:20:00,T008,U061,solved,solved,app_sync,Server hotfix deployed updating sync service
2025-10-01 10:00:00,T009,U002,opened,open,shipping,My dumbbells still have not arrived
2025-10-01 12:30:00,T009,U002,escalation,pending,shipping,Need this order before the weekend challenge
2025-10-02 16:45:00,T009,U002,reply,pending,shipping,Carrier located package and scheduled express delivery
2025-10-03 09:15:00,T009,U002,solved,solved,shipping,Order delivered and loyalty credit applied
2025-10-03 11:45:00,T010,U077,opened,open,refund,Returning unopened NovaMat
2025-10-03 13:10:00,T010,U077,reply,pending,refund,Shared return authorization details
2025-10-03 16:00:00,T010,U077,solved,solved,refund,Refund processed same day
2025-10-04 08:30:00,T011,U025,opened,open,defective_product,Light sensor on NovaRow is not working
2025-10-04 09:50:00,T011,U025,reply,pending,defective_product,Guided through firmware reinstall
2025-10-04 15:20:00,T011,U025,escalation,pending,defective_product,Sensors still unresponsive after reinstall
2025-10-05 10:05:00,T011,U025,reply,pending,defective_product,Engineering reviewing manufacturing lot
2025-10-06 13:30:00,T011,U025,solved,solved,defective_product,Replacement console shipped with QA report
2025-10-04 18:45:00,T012,U133,opened,open,shipping,Package marked delivered but not received
2025-10-05 09:20:00,T012,U133,reply,pending,shipping,Agent requested carrier GPS confirmation
2025-10-05 11:30:00,T012,U133,reply,pending,shipping,Neighbor returned package to customer
2025-10-05 12:05:00,T012,U133,solved,solved,shipping,Delivery confirmed and ticket closed
2025-10-05 08:55:00,T013,U054,opened,open,app_sync,App fails to sync heart rate monitor mid workout
2025-10-05 11:10:00,T013,U054,reply,pending,app_sync,Requested sync logs and device firmware version
2025-10-06 09:45:00,T013,U054,escalation,pending,app_sync,Logs show auth token drops every session
2025-10-07 14:15:00,T013,U054,reply,pending,app_sync,Engineering testing new token refresh policy
2025-10-08 08:25:00,T013,U054,escalation,pending,app_sync,Customer reports issue persists post beta build
2025-10-06 07:35:00,T014,U311,opened,open,shipping,Split shipment delivered missing NovaBench
2025-10-06 09:00:00,T014,U311,reply,pending,shipping,Warehouse verifying inventory levels
2025-10-07 10:40:00,T014,U311,reply,pending,shipping,Carrier confirmed parcel misrouted
2025-10-08 16:30:00,T014,U311,solved,solved,shipping,Replacement box dispatched overnight
2025-10-06 12:05:00,T015,U189,opened,open,defective_product,NovaScale readings fluctuate wildly
2025-10-06 14:50:00,T015,U189,reply,pending,defective_product,Walked through calibration steps
2025-10-07 08:35:00,T015,U189,escalation,pending,defective_product,Calibration failed even after reboot
2025-10-08 11:20:00,T015,U189,solved,solved,defective_product,New sensor module shipped with QA follow up
